Investment,Location,CompetitionLevel,TargetCustomers,MonthlyRent,MarketingBudget,BusinessOutcome
371781,Delhi,1,285,18044,4085,Loss
810369,Pune,2,344,15713,49899,Profitable
122217,Kolkata,8,700,38580,24321,Loss
930970,Pune,1,806,28147,43808,Profitable
191330,Bangalore,3,87,46296,12504,Loss
408983,Bhopal,6,777,17225,32248,Medium
440549,Jaipur,5,371,32141,37119,Loss
222088,Indore,8,88,10073,41948,Loss
736341,Chandigarh,3,887,28944,41054,Profitable
917680,Pune,8,978,13847,20169,Medium
646344,Coimbatore,3,151,9328,24391,Medium
575113,Coimbatore,3,446,24909,33033,Medium
103804,Pune,7,936,46959,32788,Loss
701093,Hyderabad,5,964,39061,46662,Profitable
520781,Pune,6,606,41867,36962,Loss
868917,Delhi,1,931,9639,29121,Profitable
255125,Delhi,8,262,38576,32077,Loss
554517,Mumbai,4,946,40632,37329,Profitable
545027,Indore,4,230,6246,41576,Medium
369501,Indore,10,403,18993,31429,Loss
548555,Coimbatore,4,589,33109,38977,Medium
792738,Chandigarh,2,692,9913,8546,Profitable
656586,Hyderabad,8,811,47043,22194,Loss
791643,Bhopal,7,256,10767,42305,Loss
653454,Bangalore,1,699,5250,10910,Profitable
630839,Indore,8,455,5492,32185,Loss
326737,Bhopal,3,908,12524,11057,Medium
746697,Chennai,9,257,18952,49652,Loss
479580,Jaipur,9,147,15024,39315,Loss
821596,Lucknow,7,296,27011,37517,Loss
906057,Lucknow,7,397,28760,16957,Loss
753619,Mumbai,2,322,40644,23921,Medium
766369,Chandigarh,1,962,43183,12329,Profitable
497364,Lucknow,7,569,36824,47291,Loss
235875,Chandigarh,8,476,45440,22990,Loss
921281,Mumbai,10,591,34574,40193,Loss
639993,Lucknow,3,726,16734,5599,Medium
489886,Bangalore,6,416,20337,16628,Loss
300240,Indore,9,186,45530,2506,Loss
429823,Pune,5,793,5819,47496,Profitable
986472,Visakhapatnam,8,581,10412,5604,Loss
991095,Mumbai,2,833,26508,40075,Profitable
555449,Kolkata,3,240,24692,33779,Medium
370906,Lucknow,9,78,43652,37276,Loss
320467,Chennai,2,232,12620,13428,Loss
813741,Ahmedabad,10,668,28227,11898,Loss
665344,Indore,9,900,18325,13565,Loss
489916,Pune,9,940,29384,43947,Loss
203405,Indore,4,80,10062,43484,Loss
303713,Lucknow,6,319,14456,31449,Loss
721721,Chandigarh,10,768,26295,18385,Loss
162435,Jaipur,1,820,28318,38125,Profitable
957246,Indore,3,518,34872,17983,Profitable
839112,Hyderabad,8,280,21584,4081,Loss
982239,Chandigarh,1,415,20176,37780,Profitable
367128,Indore,3,234,27652,48739,Medium
838498,Chennai,7,128,37227,8390,Loss
795508,Lucknow,5,720,9577,4105,Medium
572504,Bhopal,10,331,15258,43201,Loss
656142,Chandigarh,1,431,33381,28570,Profitable
577001,Indore,9,269,21534,43718,Loss
736996,Bangalore,2,581,8110,42261,Profitable
248121,Hyderabad,9,191,27865,15723,Loss
909918,Delhi,7,591,10923,16114,Medium
446677,Chennai,4,174,31459,2241,Loss
897849,Mumbai,1,186,43786,21309,Profitable
421944,Kolkata,4,112,34598,9030,Loss
535187,Bhopal,4,219,8341,5502,Loss
839207,Lucknow,3,506,26454,45157,Profitable
386715,Pune,10,201,8337,21973,Loss
508241,Bangalore,7,936,34401,25849,Loss
812318,Chandigarh,10,89,34172,23564,Loss
775849,Coimbatore,8,119,43239,26423,Loss
401144,Kolkata,4,726,40868,30608,Medium
257676,Chandigarh,2,587,46336,35365,Medium
617685,Chandigarh,8,686,49988,31711,Loss
603991,Delhi,4,72,47036,41765,Loss
622567,Delhi,9,740,42913,33680,Loss
536836,Bangalore,2,225,37640,28843,Medium
902161,Delhi,10,594,33014,31425,Loss
481745,Pune,7,219,19379,37204,Loss
584274,Bangalore,8,316,46047,42924,Loss
616025,Jaipur,4,415,46071,41443,Medium
540780,Hyderabad,1,819,46192,41876,Profitable
987581,Chennai,10,555,22986,40020,Loss
185603,Mumbai,5,711,29454,31165,Loss
746801,Chandigarh,10,311,35583,43886,Loss
934190,Bhopal,1,441,23362,44481,Profitable
561966,Chennai,5,174,9816,49350,Loss
204138,Hyderabad,8,440,16951,11570,Loss
663355,Pune,1,388,36102,37028,Profitable
342871,Indore,2,994,28423,36829,Profitable
800225,Coimbatore,10,908,8623,28100,Loss
755346,Visakhapatnam,9,868,7216,13474,Loss
938208,Pune,6,554,5400,14859,Medium
611940,Bangalore,3,533,6205,28661,Profitable
974973,Hyderabad,6,249,32499,17489,Loss
116374,Coimbatore,6,199,36409,42113,Loss
543226,Bangalore,2,579,49297,38673,Profitable
691554,Mumbai,7,521,33132,10624,Loss
420674,Pune,3,128,28751,24113,Loss
561646,Mumbai,5,369,15170,4616,Loss
125192,Ahmedabad,5,704,7828,37659,Loss
924955,Visakhapatnam,2,647,37497,15781,Profitable
389662,Hyderabad,4,126,15294,28281,Loss
382915,Indore,3,994,16145,19764,Profitable
534497,Kolkata,2,458,43914,26590,Medium
275502,Bangalore,10,599,22592,4874,Loss
842452,Hyderabad,5,361,32895,22518,Medium
346693,Jaipur,4,945,18723,20891,Medium
807271,Hyderabad,1,305,43702,42969,Profitable
757481,Indore,2,484,21361,46985,Profitable
954815,Bhopal,5,846,16143,23865,Profitable
228127,Mumbai,2,622,19299,42367,Medium
466839,Ahmedabad,3,989,33415,24991,Profitable
127575,Indore,3,736,39013,34607,Medium
678923,Ahmedabad,4,508,33144,27393,Medium
518448,Visakhapatnam,7,718,48046,19303,Loss
527252,Pune,10,776,10474,30532,Loss
897745,Chandigarh,10,518,44918,21781,Loss
871368,Indore,9,983,9079,6623,Medium
165833,Bhopal,3,602,11290,16324,Loss
477097,Bangalore,3,142,45059,4405,Loss
603421,Kolkata,2,888,35923,6727,Profitable
948692,Delhi,6,702,20935,4792,Medium
234754,Bangalore,6,151,49815,38141,Loss
673829,Kolkata,3,997,36298,33468,Profitable
379256,Visakhapatnam,7,302,16708,8854,Loss
999521,Indore,10,329,39997,34122,Loss
894920,Chandigarh,9,184,34629,25893,Loss
601749,Coimbatore,8,339,15596,7197,Loss
893657,Lucknow,1,360,15276,7843,Profitable
398979,Pune,1,484,40398,38090,Profitable
295522,Lucknow,2,713,27954,15254,Medium
195726,Pune,4,565,35409,49952,Loss
174526,Kolkata,7,815,16999,13811,Loss
850425,Jaipur,10,951,47512,31745,Loss
868973,Indore,4,928,33428,29129,Profitable
211896,Indore,4,382,9099,35988,Loss
492741,Delhi,7,976,24476,21840,Medium
367198,Chennai,10,479,21179,42798,Loss
158210,Bhopal,8,471,26259,35782,Loss
221733,Delhi,8,542,13646,38498,Loss
672498,Lucknow,7,875,12230,20024,Medium
545989,Chandigarh,5,993,34645,4565,Medium
214014,Coimbatore,2,58,25454,10542,Loss
992294,Visakhapatnam,4,419,7806,11773,Medium
690367,Lucknow,7,414,29694,8345,Loss
441426,Chandigarh,8,641,6840,44299,Loss
456884,Bangalore,4,325,45013,6040,Loss
257121,Bhopal,5,437,49964,22017,Loss
814896,Jaipur,7,217,10406,17060,Loss
926095,Chandigarh,1,286,7998,3032,Profitable
353272,Chandigarh,6,703,31949,31041,Loss
878700,Chennai,2,762,26506,37918,Profitable
134869,Kolkata,10,471,15405,5941,Loss
826894,Lucknow,8,340,10298,16071,Loss
654399,Chandigarh,6,194,40443,42358,Loss
